congress,convened,year,seats,seats_with_age,missing_birthday,approx_age,median_age,mean_age,min_age,max_age
99,1985-01-03,1985,100,100,0,0,53.0,54.2,36,83
100,1987-01-06,1987,100,100,0,0,53.0,54.6,38,85
101,1989-01-03,1989,100,100,0,0,54.0,55.3,40,86
102,1991-01-03,1991,100,100,0,0,56.0,56.9,42,88
103,1993-01-05,1993,100,100,0,0,57.0,57.7,39,90
104,1995-01-04,1995,100,100,0,0,57.0,58.1,36,92
105,1997-01-07,1997,100,100,0,0,56.0,57.5,38,94
106,1999-01-06,1999,100,100,0,0,57.0,58.3,38,96
107,2001-01-03,2001,100,100,0,0,58.0,58.8,40,98
108,2003-01-07,2003,100,100,0,0,59.0,59.5,38,85
109,2005-01-04,2005,100,100,0,0,60.5,60.4,40,87
110,2007-01-04,2007,100,100,0,0,62.0,61.8,42,89
111,2009-01-06,2009,98,98,0,0,62.0,62.7,45,91
112,2011-01-05,2011,100,100,0,0,61.0,61.8,39,86
113,2013-01-03,2013,100,100,0,0,61.0,61.2,39,88
114,2015-01-06,2015,100,100,0,0,61.0,60.7,37,81
115,2017-01-03,2017,100,100,0,0,62.0,61.8,39,83
116,2019-01-03,2019,99,99,0,0,63.0,62.5,39,85
117,2021-01-03,2021,99,99,0,0,65.0,63.6,41,87
118,2023-01-03,2023,100,100,0,0,65.0,63.5,35,89
119,2025-01-03,2025,99,99,0,0,64.0,63.3,37,91
